Episode	avg	min	max
242000	-138.914	-167.0	-117.0
242500	-138.832	-167.0	-117.0
243000	-138.69	-168.0	-117.0
243500	-138.036	-167.0	-117.0
244000	-139.302	-167.0	-117.0
244500	-139.124	-167.0	-117.0
245000	-138.214	-167.0	-117.0
245500	-138.704	-166.0	-117.0
246000	-139.234	-167.0	-117.0
246500	-140.056	-167.0	-117.0
247000	-138.718	-169.0	-117.0
247500	-139.01	-167.0	-117.0
248000	-138.36	-167.0	-117.0
248500	-138.48	-167.0	-117.0
249000	-138.938	-167.0	-117.0
249500	-139.52	-167.0	-117.0
Episode	avg	min	max
0	-200.0	-200.0	-200.0
Episode	avg	min	max
0	-200.0	-200.0	-200.0
